,20 XLs,,,,,,40 XLs,,,,,,60 XLs,,,,,
,rep1,rep2,rep3,rep4,rep5,avg,rep1,rep2,rep3,rep4,rep5,avg,rep1,rep2,rep3,rep4,rep5,avg
Sampling Precision,30,15,20.5,12.9,10,17.68,6.8,5,10,17,8.8,9.52,3,9,9,4,10.9,7.18
Cluster Precision,20.8,10,14.9,7.1,5.8,11.72,5.7,4.4,8.6,9.3,5.7,6.74,2.6,6.7,5.9,3.7,9.1,5.6
Model Accuracy,36.7,18.7,18.9,22.5,18,22.96,9.6,12.7,12.9,12.9,11,11.82,8.7,10.6,10.9,9,11.2,10.08
Cluster Population,9565,9875,9941,7161,9021,9112.6,7526,10000,8242,9977,9045,8958,7175,10000,9935,9953,9025,9217.6
